,game_id,t,f0,f1,f2,a1,a2,r1,r2,aid1,aid2
0,0,0,0,0,0,1,1,2,2,0,1
1,0,1,1,0,0,1,1,2,2,0,1
2,0,2,1,0,0,1,1,2,2,0,1
3,0,3,1,1,0,1,1,2,2,0,1
4,0,4,1,1,0,1,1,2,2,0,1
5,0,5,0,0,0,1,1,2,2,0,1
6,0,6,1,1,0,1,1,2,2,0,1
7,0,7,0,0,0,1,1,2,2,0,1
8,0,8,1,0,0,1,1,2,2,0,1
9,0,9,1,0,0,1,1,2,2,0,1
10,0,10,1,0,0,1,1,2,2,0,1
11,0,11,1,0,0,1,1,2,2,0,1
12,0,12,0,0,1,0,0,1,1,0,1
13,0,13,0,0,0,0,0,1,1,0,1
14,0,14,1,0,0,0,0,1,1,0,1
15,0,15,0,0,0,0,0,1,1,0,1
16,0,16,0,0,0,0,0,1,1,0,1
17,0,17,0,1,0,0,0,1,1,0,1
18,0,18,0,1,1,1,1,2,2,0,1
19,0,19,0,0,0,1,1,2,2,0,1
20,1,0,0,0,1,1,1,2,2,2,3
21,1,1,0,0,1,1,1,2,2,2,3
22,1,2,1,1,0,1,1,2,2,2,3
23,1,3,0,0,0,1,1,2,2,2,3
24,1,4,1,0,1,1,1,2,2,2,3
25,1,5,0,1,1,1,1,2,2,2,3
26,1,6,0,0,0,1,1,2,2,2,3
27,1,7,0,0,0,1,1,2,2,2,3
28,1,8,1,1,0,1,1,2,2,2,3
29,1,9,0,0,0,1,1,2,2,2,3
30,1,10,0,1,0,1,1,2,2,2,3
31,1,11,0,1,0,1,1,2,2,2,3
32,1,12,1,1,0,1,1,2,2,2,3
33,1,13,0,1,1,1,1,2,2,2,3
34,1,14,1,0,1,1,1,2,2,2,3
35,1,15,1,0,0,1,1,2,2,2,3
36,1,16,0,0,0,1,1,2,2,2,3
37,1,17,0,0,0,1,1,2,2,2,3
38,1,18,0,0,1,1,1,2,2,2,3
39,1,19,0,0,0,1,1,2,2,2,3
40,2,0,1,0,1,0,1,0,1,4,5
41,2,1,0,0,0,1,1,2,2,4,5
42,2,2,0,0,0,1,1,2,2,4,5
43,2,3,0,1,0,1,1,2,2,4,5
44,2,4,0,1,0,1,1,2,2,4,5
45,2,5,1,0,0,1,1,2,2,4,5
46,2,6,1,0,0,1,1,2,2,4,5
47,2,7,1,0,0,1,1,2,2,4,5
48,2,8,0,0,0,1,1,2,2,4,5
49,2,9,1,0,0,1,1,2,2,4,5
50,2,10,0,0,0,1,1,2,2,4,5
51,2,11,1,0,0,1,1,2,2,4,5
52,2,12,0,0,0,1,1,2,2,4,5
53,2,13,0,0,1,0,0,1,1,4,5
54,2,14,0,0,0,0,0,1,1,4,5
55,2,15,0,0,1,1,1,2,2,4,5
56,2,16,1,0,1,0,0,1,1,4,5
57,2,17,0,0,0,0,0,1,1,4,5
58,2,18,1,1,0,1,0,1,0,4,5
59,2,19,1,1,0,1,0,1,0,4,5
60,3,0,0,0,0,1,1,2,2,6,7
61,3,1,0,0,0,1,1,2,2,6,7
62,3,2,0,0,0,1,1,2,2,6,7
63,3,3,0,0,1,0,1,0,1,6,7
64,3,4,0,0,0,0,1,0,1,6,7
65,3,5,0,0,0,0,1,0,1,6,7
66,3,6,0,0,1,1,1,2,2,6,7
67,3,7,1,0,0,1,1,2,2,6,7
68,3,8,0,0,1,0,1,0,1,6,7
69,3,9,0,0,0,0,1,0,1,6,7
70,3,10,0,1,0,0,1,0,1,6,7
71,3,11,0,0,0,0,1,0,1,6,7
72,3,12,0,0,0,0,1,0,1,6,7
73,3,13,0,1,0,0,1,0,1,6,7
74,3,14,1,0,0,0,1,0,1,6,7
75,3,15,0,0,0,0,1,0,1,6,7
76,3,16,0,0,0,0,1,0,1,6,7
77,3,17,0,0,1,1,1,2,2,6,7
78,3,18,0,0,0,1,1,2,2,6,7
79,3,19,0,0,0,1,1,2,2,6,7
80,4,0,0,1,0,1,0,1,0,8,9
81,4,1,0,0,0,0,0,1,1,8,9
82,4,2,1,0,0,1,0,1,0,8,9
83,4,3,1,0,0,0,1,0,1,8,9
84,4,4,0,1,0,1,0,1,0,8,9
85,4,5,0,1,0,0,0,1,1,8,9
86,4,6,1,0,1,1,0,1,0,8,9
87,4,7,0,1,0,0,0,1,1,8,9
88,4,8,0,0,0,1,0,1,0,8,9
89,4,9,0,0,0,0,0,1,1,8,9
90,4,10,0,0,0,1,0,1,0,8,9
91,4,11,0,0,0,0,0,1,1,8,9
92,4,12,0,0,0,1,0,1,0,8,9
93,4,13,0,0,0,0,0,1,1,8,9
94,4,14,1,1,1,1,0,1,0,8,9
95,4,15,0,1,0,0,0,1,1,8,9
96,4,16,1,0,0,1,0,1,0,8,9
97,4,17,0,0,0,0,0,1,1,8,9
98,4,18,1,0,0,1,0,1,0,8,9
99,4,19,1,0,0,0,1,0,1,8,9
100,5,0,0,0,0,1,1,2,2,10,11
101,5,1,0,0,0,1,1,2,2,10,11
102,5,2,0,0,0,1,1,2,2,10,11
103,5,3,0,0,0,1,1,2,2,10,11
104,5,4,1,1,0,1,1,2,2,10,11
105,5,5,0,0,0,1,1,2,2,10,11
106,5,6,0,0,0,1,1,2,2,10,11
107,5,7,1,0,0,1,1,2,2,10,11
108,5,8,0,1,0,1,1,2,2,10,11
